profile_id	source_product_id	source_product_name	target_product_id	target_product_name	split	rank	score	local_accord	visual_note	local_family	global_accord	global_family	cross_ref_global_to_local_accord	cross_ref_global_to_local_family	same_global_reference	sem_similar	enriched_cross_ref_bonus
0	0	Berrylicious	4	Fancy Dress	train	2	4.335714	0.857143	0.416667	1.500000	0.428571	0.000000	0.583333	0.000000	0.000000	0.350000	0.200000
0	0	Berrylicious	7	Black Lax	train	3	4.261310	0.857143	0.416667	1.500000	0.500000	0.000000	0.437500	0.000000	0.000000	0.350000	0.200000
0	0	Berrylicious	1	Verve Vale	train	5	3.534848	0.500000	0.416667	1.500000	0.250000	0.000000	0.318182	0.000000	0.000000	0.350000	0.200000
0	0	Berrylicious	5	Moz Art	train	6	3.435317	0.222222	0.416667	1.500000	0.571429	0.000000	0.525000	0.000000	0.000000	0.000000	0.200000
0	0	Berrylicious	179	Ombredesire	train	8	3.244643	0.857143	0.000000	0.000000	0.500000	1.250000	0.437500	0.000000	0.000000	0.000000	0.200000
0	0	Berrylicious	324	Groove Large	train	9	3.026840	1.333333	0.000000	0.000000	0.857143	0.000000	0.636364	0.000000	0.000000	0.000000	0.200000
0	0	Berrylicious	72	Bamboo Cici	train	11	2.669697	1.333333	0.000000	0.000000	0.500000	0.000000	0.636364	0.000000	0.000000	0.000000	0.200000
0	0	Berrylicious	6	Superclass Woman	train	12	2.626282	0.000000	0.416667	1.500000	0.375000	0.000000	0.134615	0.000000	0.000000	0.000000	0.200000
0	0	Berrylicious	3	Spicy Day	test	1	6.067316	0.857143	0.416667	1.500000	0.857143	1.250000	0.636364	0.000000	0.000000	0.350000	0.200000
0	0	Berrylicious	8	Red Glass	test	4	4.114251	0.857143	0.416667	1.500000	0.352941	0.000000	0.437500	0.000000	0.000000	0.350000	0.200000
0	0	Berrylicious	2	Secret of Bandit	test	7	3.391774	0.222222	0.416667	1.500000	0.615385	0.000000	0.437500	0.000000	0.000000	0.000000	0.200000
0	0	Berrylicious	9	Classic Vintage	test	10	2.830342	0.222222	0.416667	1.500000	0.222222	0.000000	0.269231	0.000000	0.000000	0.000000	0.200000
1	1	Verve Vale	90	Vagabond	train	2	3.717992	1.333333	0.000000	0.000000	1.090909	0.000000	1.093750	0.000000	0.000000	0.000000	0.200000
1	1	Verve Vale	14	Black Ball	train	3	3.644444	1.333333	0.000000	0.000000	1.111111	0.000000	1.000000	0.000000	0.000000	0.000000	0.200000
1	1	Verve Vale	8	Red Glass	train	5	3.534848	0.500000	0.416667	1.500000	0.250000	0.000000	0.318182	0.000000	0.000000	0.350000	0.200000
1	1	Verve Vale	9	Classic Vintage	train	6	3.435317	0.222222	0.416667	1.500000	0.571429	0.000000	0.525000	0.000000	0.000000	0.000000	0.200000
1	1	Verve Vale	4	Fancy Dress	train	8	2.996581	0.222222	0.416667	1.500000	0.307692	0.000000	0.350000	0.000000	0.000000	0.000000	0.200000
1	1	Verve Vale	2	Secret of Bandit	train	9	2.964763	0.222222	0.416667	1.500000	0.307692	0.000000	0.318182	0.000000	0.000000	0.000000	0.200000
1	1	Verve Vale	6	Superclass Woman	train	11	2.897222	0.222222	0.416667	1.500000	0.266667	0.000000	0.291667	0.000000	0.000000	0.000000	0.200000
1	1	Verve Vale	7	Black Lax	train	12	2.858120	0.222222	0.416667	1.500000	0.250000	0.000000	0.269231	0.000000	0.000000	0.000000	0.200000
1	1	Verve Vale	5	Moz Art	test	1	3.953205	0.500000	0.416667	1.500000	0.461538	0.000000	0.525000	0.000000	0.000000	0.350000	0.200000
1	1	Verve Vale	0	Berrylicious	test	4	3.534848	0.500000	0.416667	1.500000	0.250000	0.000000	0.318182	0.000000	0.000000	0.350000	0.200000
1	1	Verve Vale	3	Spicy Day	test	7	3.008120	0.222222	0.416667	1.500000	0.400000	0.000000	0.269231	0.000000	0.000000	0.000000	0.200000
1	1	Verve Vale	292	Elvishore	test	10	2.926496	1.333333	0.000000	0.000000	0.615385	0.000000	0.777778	0.000000	0.000000	0.000000	0.200000
2	2	Secret of Bandit	3	Spicy Day	train	2	4.436364	0.500000	0.416667	1.500000	0.833333	0.000000	0.636364	0.000000	0.000000	0.350000	0.200000
2	2	Secret of Bandit	157	Floral Noir	train	3	3.761905	0.500000	0.000000	0.000000	0.428571	1.250000	0.583333	0.800000	0.000000	0.000000	0.200000
2	2	Secret of Bandit	164	Fiori Leys	train	5	3.525107	0.222222	0.000000	0.000000	0.615385	1.250000	0.437500	0.800000	0.000000	0.000000	0.200000
2	2	Secret of Bandit	0	Berrylicious	train	6	3.391774	0.222222	0.416667	1.500000	0.615385	0.000000	0.437500	0.000000	0.000000	0.000000	0.200000
2	2	Secret of Bandit	95	Mellifluous	train	8	3.055556	0.222222	0.000000	0.000000	0.800000	1.250000	0.583333	0.000000	0.000000	0.000000	0.200000
2	2	Secret of Bandit	174	Badge	train	9	3.023052	0.857143	0.000000	0.000000	1.090909	0.000000	0.875000	0.000000	0.000000	0.000000	0.200000
2	2	Secret of Bandit	1	Verve Vale	train	11	2.964763	0.222222	0.416667	1.500000	0.307692	0.000000	0.318182	0.000000	0.000000	0.000000	0.200000
2	2	Secret of Bandit	7	Black Lax	train	12	2.955556	0.222222	0.416667	1.500000	0.266667	0.000000	0.350000	0.000000	0.000000	0.000000	0.200000
2	2	Secret of Bandit	159	Black Ford	test	1	4.534091	0.500000	0.000000	0.000000	0.909091	1.250000	0.875000	0.800000	0.000000	0.000000	0.200000
2	2	Secret of Bandit	9	Classic Vintage	test	4	3.583333	0.500000	0.416667	1.500000	0.266667	0.000000	0.350000	0.000000	0.000000	0.350000	0.200000
2	2	Secret of Bandit	8	Red Glass	test	7	3.304274	0.222222	0.416667	1.500000	0.615385	0.000000	0.350000	0.000000	0.000000	0.000000	0.200000
2	2	Secret of Bandit	4	Fancy Dress	test	10	3.022222	0.222222	0.416667	1.500000	0.333333	0.000000	0.350000	0.000000	0.000000	0.000000	0.200000
3	3	Spicy Day	4	Fancy Dress	train	2	5.290385	1.333333	0.416667	1.500000	0.615385	0.000000	0.875000	0.000000	0.000000	0.350000	0.200000
3	3	Spicy Day	7	Black Lax	train	3	5.103030	1.333333	0.416667	1.500000	0.666667	0.000000	0.636364	0.000000	0.000000	0.350000	0.200000
3	3	Spicy Day	8	Red Glass	train	5	4.261310	0.857143	0.416667	1.500000	0.500000	0.000000	0.437500	0.000000	0.000000	0.350000	0.200000
3	3	Spicy Day	226	Rose of The Sea	train	6	3.265476	1.333333	0.000000	0.000000	0.857143	0.000000	0.875000	0.000000	0.000000	0.000000	0.200000
3	3	Spicy Day	289	-	train	8	3.023052	0.857143	0.000000	0.000000	1.090909	0.000000	0.875000	0.000000	0.000000	0.000000	0.200000
3	3	Spicy Day	1	Verve Vale	train	9	3.008120	0.222222	0.416667	1.500000	0.400000	0.000000	0.269231	0.000000	0.000000	0.000000	0.200000
3	3	Spicy Day	9	Classic Vintage	train	11	2.961061	0.222222	0.416667	1.500000	0.352941	0.000000	0.269231	0.000000	0.000000	0.000000	0.200000
3	3	Spicy Day	298	Spices Fragrance	train	12	2.838889	0.500000	0.000000	0.000000	1.166667	0.000000	0.972222	0.000000	0.000000	0.000000	0.200000
3	3	Spicy Day	0	Berrylicious	test	1	6.067316	0.857143	0.416667	1.500000	0.857143	1.250000	0.636364	0.000000	0.000000	0.350000	0.200000
3	3	Spicy Day	2	Secret of Bandit	test	4	4.436364	0.500000	0.416667	1.500000	0.833333	0.000000	0.636364	0.000000	0.000000	0.350000	0.200000
3	3	Spicy Day	212	Waka-Waka	test	7	3.112338	0.571429	0.000000	0.000000	1.090909	0.000000	1.250000	0.000000	0.000000	0.000000	0.200000
3	3	Spicy Day	5	Moz Art	test	10	3.006277	0.000000	0.416667	1.500000	0.571429	0.000000	0.318182	0.000000	0.000000	0.000000	0.200000
4	4	Fancy Dress	3	Spicy Day	train	2	5.290385	1.333333	0.416667	1.500000	0.615385	0.000000	0.875000	0.000000	0.000000	0.350000	0.200000
4	4	Fancy Dress	7	Black Lax	train	3	5.290385	1.333333	0.416667	1.500000	0.615385	0.000000	0.875000	0.000000	0.000000	0.350000	0.200000
4	4	Fancy Dress	0	Berrylicious	train	5	4.335714	0.857143	0.416667	1.500000	0.428571	0.000000	0.583333	0.000000	0.000000	0.350000	0.200000
4	4	Fancy Dress	9	Classic Vintage	train	6	4.286691	0.222222	0.416667	1.500000	0.428571	1.250000	0.269231	0.000000	0.000000	0.000000	0.200000
4	4	Fancy Dress	213	Mirage Moon	train	8	3.319048	0.857143	0.000000	0.000000	0.428571	1.250000	0.583333	0.000000	0.000000	0.000000	0.200000
4	4	Fancy Dress	156	Passion Art	train	9	3.200000	0.500000	0.000000	0.000000	0.666667	1.250000	0.583333	0.000000	0.000000	0.000000	0.200000
4	4	Fancy Dress	311	Rafi Ahmad Touch Rafatar	train	11	3.023718	1.333333	0.000000	0.000000	0.615385	0.000000	0.875000	0.000000	0.000000	0.000000	0.200000
4	4	Fancy Dress	2	Secret of Bandit	train	12	3.022222	0.222222	0.416667	1.500000	0.333333	0.000000	0.350000	0.000000	0.000000	0.000000	0.200000
4	4	Fancy Dress	8	Red Glass	test	1	5.585714	0.857143	0.416667	1.500000	0.428571	1.250000	0.583333	0.000000	0.000000	0.350000	0.200000
